web-scraper-order,web-scraper-start-url,List,List-href,bio,image-src,facts
"1518863325-2475","https://en.wikipedia.org/wiki/100_Greatest_African_Americans","Zora Neale Hurston","https://en.wikipedia.org/wiki/Zora_Neale_Hurston","Zora Neale Hurston (January 7, 1891[1][2] – January 28, 1960) was an American novelist, short story writer, folklorist, and anthropologist known for her contributions to African-American literature, her portrayal of racial struggles in the American South, and works documenting her research on Haitian voodoo.[3] Of Hurston's four novels and more than 50 published short stories, plays, and essays, she is best known for her 1937 novel Their Eyes Were Watching God.","//upload.wikimedia.org/wikipedia/commons/thumb/5/57/Hurston-Zora-Neale-LOC.jpg/220px-Hurston-Zora-Neale-LOC.jpg","[{""facts"":""Hurston c. 1940""},{""facts"":""(1891-01-07)January 7, 1891\n\nNotasulga, Alabama, U.S.""},{""facts"":""January 28, 1960(1960-01-28) (aged 69)\n\nFort Pierce, Florida, U.S.""},{""facts"":""Folklorist, anthropologist, ethnographer, novelist, short story writer""},{""facts"":""Howard University\nBarnard College (BA)""},{""facts"":""Howard University\nBarnard College (BA)""},{""facts"":""c. 1925–1950""},{""facts"":""Harlem Renaissance""},{""facts"":""Their Eyes Were Watching God""},{""facts"":""Herbert Sheen (1927-1931)\n\nAlbert Price""},{""facts"":""""},{""facts"":""Signature""},{""facts"":""""},{""facts"":""Website""},{""facts"":""zoranealehurston.com""}]"
"1518863343-2484","https://en.wikipedia.org/wiki/100_Greatest_African_Americans","Henry Highland Garnet","https://en.wikipedia.org/wiki/Henry_Highland_Garnet","Henry Highland Garnet (December 23, 1815 – February 13, 1882) was an African-American abolitionist, minister, educator and orator. Having escaped with his family as a child from slavery in Maryland, he grew up in New York City. He was educated at the African Free School and other institutions, and became an advocate of militant abolitionism. He became a minister and based his drive for abolitionism in religion.","//upload.wikimedia.org/wikipedia/commons/thumb/0/02/Motto_henry_highland_garnet_original.jpg/220px-Motto_henry_highland_garnet_original.jpg","[{""facts"":""(1815-12-23)December 23, 1815\n\nNew Market, Maryland, U.S.""},{""facts"":""February 13, 1882(1882-02-13) (aged 66)\n\nMonrovia, Liberia""},{""facts"":""American""},{""facts"":""African Free School""},{""facts"":""Minister (Christianity), Abolitionist""},{""facts"":""""},{""facts"":""Presbyterian""},{""facts"":""""}]"
"1518863350-2487","https://en.wikipedia.org/wiki/100_Greatest_African_Americans","Duke Ellington","https://en.wikipedia.org/wiki/Duke_Ellington","Edward Kennedy ""Duke"" Ellington (April 29, 1899 – May 24, 1974) was an American composer, pianist, and bandleader of a jazz orchestra, which he led from 1923 until his death in a career spanning over fifty years.[1]","//upload.wikimedia.org/wikipedia/commons/thumb/a/af/Duke_Ellington_-_publicity.JPG/220px-Duke_Ellington_-_publicity.JPG","[{""facts"":""Ellington c. 1940s""},{""facts"":""Edward Kennedy Ellington""},{""facts"":""(1899-04-29)April 29, 1899\n\nWashington, D.C., U.S.""},{""facts"":""May 24, 1974(1974-05-24) (aged 75)\n\nNew York City, New York, U.S.""},{""facts"":""Jazz""},{""facts"":""Bandleader\nmusician\ncomposer\nconductor""},{""facts"":""Bandleader\nmusician\ncomposer\nconductor""},{""facts"":""Piano""},{""facts"":""1914–1974""},{""facts"":""Associated acts""},{""facts"":""Billy Strayhorn""},{""facts"":""Billy Strayhorn""},{""facts"":""Website""},{""facts"":""www.dukeellington.com""}]"
"1518863395-2509","https://en.wikipedia.org/wiki/100_Greatest_African_Americans","Mary McLeod Bethune","https://en.wikipedia.org/wiki/Mary_McLeod_Bethune","Mary Jane McLeod Bethune (born Mary Jane McLeod; July 10, 1875 – May 18, 1955) was an American educator, stateswoman, philanthropist, humanitarian and civil rights activist best known for starting a private school for African-American students in Daytona Beach, Florida. She attracted donations of time and money, and developed the academic school as a college. It later continued to develop as Bethune-Cookman University. She also was appointed as a national adviser to President Franklin D. Roosevelt as part of what was known as his Black Cabinet. She was known as ""The First Lady of The Struggle"" because of her commitment to gain better lives for African Americans.[1]","//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Bethune42h.jpg/220px-Bethune42h.jpg","[{""facts"":""Mary Jane McLeod Bethune, photographed by Carl Van Vechten, April 6, 1949""},{""facts"":""Mary Jane McLeod\n\n(1875-07-10)July 10, 1875\n\nMayesville, South Carolina, U.S.""},{""facts"":""May 18, 1955(1955-05-18) (aged 79)\n\nDaytona Beach, Florida, U.S.""},{""facts"":""Educator, Author, and African American Civil Rights Leader""},{""facts"":""Albertus Bethune, m. 1898, died 1918""},{""facts"":""1""}]"
"1518863217-2427","https://en.wikipedia.org/wiki/100_Greatest_African_Americans","August Wilson","https://en.wikipedia.org/wiki/August_Wilson","August Wilson (April 27, 1945 – October 2, 2005) was an American playwright whose work included a series of ten plays, The Pittsburgh Cycle, for which he received two Pulitzer Prizes for Drama. Each work in the series is set in a different decade, and depicts comic and tragic aspects of the African-American experience in the 20th century.","//upload.wikimedia.org/wikipedia/en/f/fa/August_wilson.jpg","[{""facts"":""Frederick August Kittel Jr.\n\n(1945-04-27)April 27, 1945\n\nPittsburgh, Pennsylvania, U.S.""},{""facts"":""October 2, 2005(2005-10-02) (aged 60)\n\nSeattle, Washington, U.S.""},{""facts"":""Author, playwright""},{""facts"":""American""},{""facts"":""Brenda Burton\n\n(m. 1969–1972)\n\nJudy Oliver\n\n(m. 1981; div. 1990)\n\nConstanza Romero\n\n(m. 1994; his death 2005)""},{""facts"":""2""},{""facts"":""The Pittsburgh Cycle""},{""facts"":""Awards""},{""facts"":""Pulitzer Prize for Drama (1987, 1990), Whiting Award (1986)""}]"
"1518863362-2493","https://en.wikipedia.org/wiki/100_Greatest_African_Americans","Martin R. Delany","https://en.wikipedia.org/wiki/Martin_R._Delany","Martin Robison Delany (May 6, 1812 – January 24, 1885) was an African-American abolitionist, journalist, physician, soldier and writer, and arguably the first proponent of black nationalism.[1]","//upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Delany.jpg/220px-Delany.jpg","[{""facts"":""Martin R. Delany""},{""facts"":""May 6, 1812\n\nCharles Town, Virginia (present-day Charles Town, West Virginia), U.S.""},{""facts"":""January 24, 1885(1885-01-24) (aged 72)\n\nWilberforce, Ohio, U.S.""},{""facts"":""United States of America\n\nUnion""},{""facts"":""Union Army""},{""facts"":""1863–1865""},{""facts"":""Major""},{""facts"":""American Civil War""}]"
"1518863404-2513","https://en.wikipedia.org/wiki/100_Greatest_African_Americans","James Baldwin","https://en.wikipedia.org/wiki/James_Baldwin","James Arthur ""Jimmy"" Baldwin (August 2, 1924 – December 1, 1987) was an American novelist and social critic. His essays, as collected in Notes of a Native Son (1955), explore palpable yet unspoken intricacies of racial, sexual, and class distinctions in Western societies, most notably in mid-20th-century America.[1] Some of Baldwin's essays are book-length, including The Fire Next Time (1963), No Name in the Street (1972), and The Devil Finds Work (1976). An unfinished manuscript, Remember This House, was expanded and adapted for cinema as the Academy Award-nominated documentary film I Am Not Your Negro.[2]","//upload.wikimedia.org/wikipedia/commons/thumb/b/b8/James_Baldwin_37_Allan_Warren.jpg/250px-James_Baldwin_37_Allan_Warren.jpg","[{""facts"":""Baldwin in 1969""},{""facts"":""James Arthur Baldwin\n\n(1924-08-02)August 2, 1924\n\nNew York City, New York, U.S.""},{""facts"":""December 1, 1987(1987-12-01) (aged 63)\n\nSaint-Paul-de-Vence, France""},{""facts"":""American""},{""facts"":""Writer""},{""facts"":""1947–85""},{""facts"":""St. Louis Commune""}]"
"1518863257-2444","https://en.wikipedia.org/wiki/100_Greatest_African_Americans","Arturo Schomburg","https://en.wikipedia.org/wiki/Arturo_Schomburg","Arturo Alfonso Schomburg, also Arthur Schomburg (January 24, 1874 – June 8, 1938), was a historian, writer, and activist. Schomburg was a Puerto Rican of African and German descent who moved to the United States and researched and raised awareness of the great contributions that Afro-Latin Americans and Afro-Americans have made to society. He was an important intellectual figure in the Harlem Renaissance. Over the years, he collected literature, art, slave narratives, and other materials of African history, which was purchased to become the basis of the Schomburg Center for Research in Black Culture, named in his honor, at the New York Public Library (NYPL) branch in Harlem.[1]","//upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Arturo_Alfonso_Schomburg.jpg/150px-Arturo_Alfonso_Schomburg.jpg","[{""facts"":""Arturo Alfonso Schomburg""},{""facts"":""January 24, 1874\n\nSanturce, Puerto Rico""},{""facts"":""June 8, 1938(1938-06-08) (aged 64)\n\nBrooklyn, New York""},{""facts"":""Puerto Rican""},{""facts"":""Harlem Renaissance""},{""facts"":""Elizabeth Hatcher, m. 1895 - 1900 (until her death). Elizabeth Morrow Taylor, m. 1902 - 1938 (until his death).""},{""facts"":""With 1st. wife, Elizabeth Hatcher: Maximo Gomez; Arthur Alfonso, Jr. and Kingsley Guarionex Schomburg. With 2nd. wife, Elizabeth Morrow Taylor: Reginald Stanton and Nathaniel José Schomburg.""},{""facts"":""Schomburg, also known as Arthur Schomburg, took an active role advocating Puerto Rico's independence.""},{""facts"":""Schomburg, also known as Arthur Schomburg, took an active role advocating Puerto Rico's independence.""}]"
"1518863223-2428","https://en.wikipedia.org/wiki/100_Greatest_African_Americans","Daniel Hale Williams","https://en.wikipedia.org/wiki/Daniel_Hale_Williams","Daniel Hale Williams (January 18, 1856[1] – August 4, 1931) was an African-American general surgeon, who in 1893 performed the second documented, successful pericardium surgery in the United States to repair a wound.[2][3][4][5] He founded Chicago's Provident Hospital, the first non-segregated hospital in the United States, and also founded an associated nursing school for African Americans.","//upload.wikimedia.org/wikipedia/commons/thumb/8/83/Daniel_Hale_Williams.jpg/220px-Daniel_Hale_Williams.jpg","[{""facts"":""(1856-01-18)January 18, 1856\n\nHollidaysburg, Pennsylvania, US""},{""facts"":""August 4, 1931(1931-08-04) (aged 75)\n\nIdlewild, Michigan, US""},{""facts"":""Chicago Medical College""},{""facts"":""Scientific career""},{""facts"":""Cardiology""},{""facts"":""Provident Hospital\n\nMeharry Medical College\n\nFreedman's Hospital\n\nSt. Lukes Hospital\n\nCook County Hospital""},{""facts"":""""}]"
"1518863240-2436","https://en.wikipedia.org/wiki/100_Greatest_African_Americans","Nat Turner","https://en.wikipedia.org/wiki/Nat_Turner","Nat Turner (October 2, 1800 – November 11, 1831) was an American slave who led a rebellion of slaves and free blacks in Southampton County, Virginia on August 21, 1831. The rebels went from plantation to plantation, gathering horses and guns, freeing other slaves along the way, and recruiting other blacks who wanted to join their revolt. During the rebellion, Virginia legislators targeted free blacks with a colonization bill, which allocated new funding to remove them, and a police bill that denied free blacks trials by jury and made any free blacks convicted of a crime subject to sale and relocation.[1] The slaves killed approximately sixty white men, women and children. Whites organized militias and called out regular troops to suppress the uprising. In addition, white militias and mobs attacked blacks in the area, killing an estimated 120,[2][3] many of whom were not involved in the revolt.[4]","//upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Nat_Turner_captured.jpg/300px-Nat_Turner_captured.jpg","[{""facts"":""Discovery of Nat Turner (c. 1831–1876)""},{""facts"":""(1800-10-02)October 2, 1800\n\nSouthampton County, Virginia, U.S.""},{""facts"":""November 11, 1831(1831-11-11) (aged 31)\n\nJerusalem, Virginia, U.S.""},{""facts"":""Execution by hanging""},{""facts"":""American""},{""facts"":""Nat Turner's slave rebellion""},{""facts"":""Cherry Turner""},{""facts"":""Atlantic slave trade\n\nMiddle Passage""},{""facts"":""Middle Passage""},{""facts"":""Ghilman""},{""facts"":""History""},{""facts"":""Americas indigenous\n\nU.S. Natives""},{""facts"":""U.S. Natives""},{""facts"":""Lei Áurea""},{""facts"":""Barbados""},{""facts"":""revolt""},{""facts"":""colonial""}]"
